ORDER_ID,ORDER_DATE,ORDER_PRIORITY,ORDER_QUANTITY,SALES,DISCOUNT,SHIP_MODE,PROFIT,UNIT_PRICE,SHIPPING_COST,CUSTOMER_NAME,STATE,CUSTOMER_SEGMENT,PRODUCT_CATEGORY,PRODUCT_SUBCATEGORY,PRODUCT_NAME,PRODUCT_CONTAINER,PRODUCT_BASE_MARGIN,SHIP_DATE,COST,PACKAGE_SIZE,PACKAGE_TYPE
3,10/13/10,Low,6,261.54,4.0,Regular Air,-213.25,38.94,35.0,Muhammed MacIntyre,NY,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,80.0,10/20/10,233.64,Large,Box
293,10/1/12,High,49,10123.02,7.000000000000001,Delivery Truck,457.81,208.16,68.02,Barry French,NY,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,57.99999999999999,10/2/12,10199.84,Jumbo,Drum
293,10/1/12,High,27,244.57,1.0,Regular Air,46.71,8.69,2.99,Barry French,NY,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ Ring Binder, Heavy Gauge Vinyl",Small Box,39.0,10/3/12,234.63,Small,Box
483,7/10/11,High,30,4965.7595,8.0,Regular Air,1198.97,195.99,3.99,Clay Rozendal,NY,Corporate,Technology,Telephones and Communication,R380,Small Box,57.99999999999999,7/12/11,5879.700000000001,Small,Box
515,8/28/10,Not Specified,19,394.27,8.0,Regular Air,30.94,21.78,5.94,Carlos Soltero,NY,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,50.0,8/30/10,413.82000000000005,Medium,Box
515,8/28/10,Not Specified,21,146.69,5.0,Regular Air,4.43,6.64,4.95,Carlos Soltero,NY,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,37.0,8/30/10,139.44,Small,Pack
613,6/17/11,High,12,93.54,3.0,Regular Air,-54.04,7.3,7.72,Carl Jackson,NY,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,38.0,6/17/11,87.6,Small,Box
613,6/17/11,High,22,905.08,9.0,Regular Air,127.7,42.76,6.22,Carl Jackson,NY,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,0.0,6/18/11,940.7199999999999,Small,Box
643,3/24/11,High,21,2781.82,7.000000000000001,Express Air,-695.26,138.14,35.0,Monica Federle,NY,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,0.0,3/25/11,2900.9399999999996,Large,Box
678,2/26/10,Low,44,228.41,7.000000000000001,Regular Air,-226.36,4.98,8.33,Dorothy Badders,NY,Home Office,Office Supplies,Paper,Xerox 198,Small Box,38.0,2/26/10,219.12,Small,Box
807,11/23/10,Medium,45,196.85,1.0,Regular Air,-166.85,4.28,6.18,Neola Schneider,NY,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,40.0,11/24/10,192.60000000000002,Small,Box
807,11/23/10,Medium,32,124.56,4.0,Regular Air,-14.33,3.95,2.0,Neola Schneider,NY,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,53.0,11/24/10,126.4,Wrap,Bag
868,6/8/12,Not Specified,32,716.84,0.0,Regular Air,134.72,21.78,5.94,Carlos Daly,NY,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,50.0,6/9/12,696.96,Medium,Box
868,6/8/12,Not Specified,31,1474.33,4.0,Regular Air,114.46,47.98,3.61,Carlos Daly,NY,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,71.0,6/10/12,1487.3799999999999,Small,Pack
933,8/4/12,Not Specified,15,80.61,2.0,Regular Air,-4.72,5.28,2.99,Claudia Miner,NY,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLockÂ Ring Binders",Small Box,37.0,8/4/12,79.2,Small,Box
995,5/30/11,Medium,46,1815.49,3.0,Regular Air,782.91,39.89,3.04,Neola Schneider,NY,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,53.0,5/31/11,1834.94,Wrap,Bag
998,11/25/09,Not Specified,16,248.26,7.000000000000001,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,NY,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,40.0,11/26/09,251.84,Small,Box
1154,2/14/12,Critical,44,4462.23,4.0,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,NY,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,60.0,2/16/12,4443.12,Jumbo,Box
1154,2/14/12,Critical,11,663.784,25.0,Regular Air,-481.04,71.37,69.0,Sylvia Foulston,NY,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,68.0,2/16/12,785.07,Large,Box
1344,4/15/12,Low,15,834.904,6.0,Regular Air,-11.68,65.99,5.26,Jim Radford,NY,Corporate,Technology,Telephones and Communication,g520,Small Box,59.0,4/22/12,989.8499999999999,Small,Box
1344,4/15/12,Low,18,2480.9205,1.0,Regular Air,313.58,155.99,8.99,Jim Radford,NY,Corporate,Technology,Telephones and Communication,LX 788,Small Box,57.99999999999999,4/19/12,2807.82,Small,Box
1412,3/12/10,Not Specified,13,59.03,10.0,Express Air,26.92,3.69,0.5,Carlos Soltero,NY,Consumer,Office Supplies,Labels,Avery 52,Small Box,38.0,3/14/10,47.97,Small,Box
1412,3/12/10,Not Specified,21,97.48,5.0,Regular Air,-5.77,4.71,0.7,Carlos Soltero,NY,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,80.0,3/14/10,98.91,Wrap,Bag
1539,3/9/11,Low,33,511.83,10.0,Regular Air,-172.88,15.99,13.18,Carl Ludwig,NY,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,37.0,3/11/11,527.67,Small,Box
1539,3/9/11,Low,38,184.99,5.0,Regular Air,-144.55,4.89,4.93,Carl Ludwig,NY,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,66.0,3/14/11,185.82,Small,Pack
1540,8/4/12,High,30,80.9,9.0,Regular Air,5.76,2.88,0.7,Don Miller,NY,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,56.00000000000001,8/6/12,86.39999999999999,Wrap,Bag
1702,5/6/11,High,23,67.24,6.0,Regular Air,4.9,2.84,0.93,Annie Cyprus,NY,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid AccentÈ Tank-Style Highlighters,Wrap Bag,54.0,5/7/11,65.32,Wrap,Bag
1761,12/23/10,High,25,12028.23,1.0,Delivery Truck,-547.61,449.99,49.0,Carl Ludwig,NY,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,38.0,12/25/10,11249.75,Jumbo,Drum
1792,11/8/10,Low,28,370.48,4.0,Regular Air,-5.45,13.48,4.51,Carlos Soltero,NY,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,59.0,11/13/10,377.44,Small,Box
2275,10/21/12,Not Specified,49,278.0,8.0,Regular Air,41.67,6.08,1.17,Grant Carroll,NY,Small Business,Office Supplies,Pens & Art Supplies,Col-EraseÂ Pencils with Erasers,Wrap Bag,56.00000000000001,10/22/12,297.92,Wrap,Bag
2277,1/1/11,Not Specified,10,66.54,1.0,Regular Air,-46.03,5.98,4.38,Don Miller,NY,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,75.0,1/2/11,59.800000000000004,Small,Pack
2277,1/1/11,Not Specified,21,845.32,6.0,Regular Air,33.67,40.99,19.99,Don Miller,NY,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,36.0,1/3/11,860.7900000000001,Small,Box
2532,10/10/11,High,39,282.07,3.0,Regular Air,140.01,7.31,0.49,Alan Barnes,NY,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,38.0,10/11/11,285.09,Small,Box
2532,10/10/11,High,24,426.037,1.0,Regular Air,-78.96,20.99,2.5,Alan Barnes,NY,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,81.0,10/11/11,503.76,Wrap,Bag
2631,9/23/10,Low,27,1078.49,8.0,Regular Air,252.66,40.96,1.99,Jack Garza,NY,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,55.00000000000001,9/25/10,1105.92,Small,Pack
2757,7/19/11,Critical,39,3554.46,7.000000000000001,Delivery Truck,-1766.01,95.95,74.35,Julia West,NY,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,56.99999999999999,7/19/11,3742.05,Jumbo,Drum
2791,10/9/09,High,47,191.67,0.0,Regular Air,-236.27,3.89,7.01,Eugene Barchas,NY,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,37.0,10/9/09,182.83,Small,Box
2791,10/9/09,High,49,5586.33,9.0,Delivery Truck,80.44,120.98,30.0,Eugene Barchas,NY,Corporate,Furniture,Chairs & Chairmats,Hon Every-DayÂ Chair Series Swivel Task Chairs,Jumbo Drum,64.0,10/11/09,5928.02,Jumbo,Drum
2791,10/9/09,High,18,507.64,10.0,Regular Air,118.94,30.98,5.76,Eugene Barchas,NY,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,40.0,10/10/09,557.64,Small,Box
2976,12/9/10,Not Specified,30,14223.82,9.0,Delivery Truck,3424.22,500.98,26.0,Edward Hooks,NY,Consumer,Furniture,Chairs & Chairmats,Global TroyÈ Executive Leather Low-Back Tilter,Jumbo Drum,60.0,12/11/10,15029.400000000001,Jumbo,Drum
3232,10/8/12,Critical,5,42.66,6.0,Regular Air,-11.83,7.84,4.71,Brad Eason,NY,Small Business,Office Supplies,Binders and Binder Accessories,XtraLifeÂ ClearVueÈ Slant-DÂ Ring Binders by Cardinal,Small Box,35.0,10/10/12,39.2,Small,Box
